Module	 HV
1	-1512.5
2	-1527.82
3	-1511.52
4	-1468.64
5	-2458.01
6	-1842.51
7	-1851.25
8	-1940.42
9	-1482.45
10	-1457.95
11	-1432.98
12	-1492.63
13	-1452.68
14	-1462.94
15	-1465.98
16	-1435.01
17	-2033.63
18	-1761.92
19	-2162.83
20	-2550
21	-1474.19
22	-1502.51
23	-1598.58
24	-1632.68
25	-1446.4
26	-1621.4
27	-1507.69
28	-1438.51
29	-2098.27
30	-1833.77
31	-2550
32	-2509.77
33	-1506.22
34	-1480.99
35	-1599.7
36	-1446.95
37	-1480.08
38	-1456.38
39	-1431.33
40	-1492.2
41	-1751.07
42	-1755.24
43	-1776.05
44	-1852.56
45	-1445.02
46	-1454.47
47	-1471.05
48	-1473.08
49	-1475.97
50	-1495.53
51	-1557.21
52	-1481.66
53	-1649.48
54	-1783.18
55	-1870.23
56	-1922.7
57	-1468.25
58	-1476.04
59	-1465.05
60	-1531.6
61	-1473.98
62	-1449.17
63	-1497.95
64	-1469.83
65	-2026.63
66	-1731.46
67	-1683.31
68	-1959.59
69	-1450.46
70	-1494.12
71	-1515.54
72	-1453.7
73	-1772.99
74	-1623.13
75	-1595.09
76	-1594.18
77	-2388.74
78	-2550
79	-1777.6
80	-2063.38
81	-1423.67
82	-1446.12
83	-1450.11
84	-1618.06
85	-1434.81
86	-1451.26
87	-1479.82
88	-1439.56
89	-1756.01
90	-1676.64
91	-1688.15
92	-1850.58
93	-1443.6
94	-1473.24
95	-1476.51
96	-1607.6
97	-1488.79
98	-1433.9
99	-1509.8
100	-1435.18
101	-1970.51
102	-1797.98
103	-2099.06
104	-2041.75
105	-1423.19
106	-1426.48
107	-1470.62
108	-1461.84
109	-1605.81
110	-1491.98
111	-1447.82
112	-1438.56
113	-1629.3
114	-1675.87
115	-1770.4
116	-1815.29
117	-1395.54
118	-1508.85
119	-1443.7
120	-1465.1
121	-1449.02
122	-1471.94
123	-1475.99
124	-1479.4
125	-1533.09
126	-1717.19
127	-1765.33
128	-1717.62
129	-1416.12
130	-1392.05
131	-1534.11
132	-1547.16
133	-1495.13
134	-1422.34
135	-1475.01
136	-1525.28
137	-1813.87
138	-1831.12
139	-1869.68
140	-1989.35
141	-1455.47
142	-1453.68
143	-1452.54
144	-1472.85
145	-1626.49
146	-1589.99
147	-1550.63
148	-1602.77
149	-2550
150	-2212.55
151	-2063.14
152	-1932.09
153	-1435.45
154	-1481.23
155	-1500.62
156	-1478.53
157	-1486.58
158	-1461.99
159	-1511.57
160	-1455.21
161	-1735.01
162	-2199.34
163	-1645.78
164	-1863.96
165	-1459.82
166	-1458.59
167	-1478.81
168	-1508.9
169	-1561.09
170	-1458.58
171	-1467.56
172	-1501.34
173	-1878.38
174	-1627.1
175	-1922.69
176	-1885.98
177	-1463.06
178	-1670.11
179	-1447.72
180	-1448.04
181	-1448.81
182	-1509.88
183	-1428.52
184	-1474.17
185	-1813.22
186	-1882.32
187	-1654.12
188	-1790.51
189	-1507.09
190	-1496.93
191	-1473.84
192	-1437.5
193	-1502.77
194	-1483.71
195	-1484.12
196	-1475.46
197	-2154.4
198	-1694.42
199	-2110.22
200	-2277.83
201	-1426.34
202	-1499.81
203	-1441.56
204	-1624.52
205	-1493.87
206	-1555.06
207	-1436.77
208	-1536.48
209	-1791.77
210	-1623.01
211	-1607.39
212	-2012.49
213	-1415.16
214	-1450.72
215	-1421.01
216	-1513.21
217	-1441.94
218	-1585.43
219	-1419.37
220	-1469.31
221	-1610.46
222	-1903.69
223	-1727.69
224	-1680.43
225	-1387.22
226	-1459.86
227	-1440.06
228	-1484.99
229	-1459.73
230	-1404.65
231	-1465.2
232	-1478.93
233	-1935
234	-1774.44
235	-1818.97
236	-2287.7
237	-1464.12
238	-1438.72
239	-1465.07
240	-1481.02
241	-1547.26
242	-1470.09
243	-1835.64
244	-1491.04
245	-1993.96
246	-1578.85
247	-2028.63
248	-2052.02
249	-1433.13
250	-1472.21
251	-1461.3
252	-1478.1
253	-1548.2
254	-1457.55
255	-1392.95
256	-1411.8
257	-1742.07
258	-1459.29
259	-1566.24
260	-1739.82
261	-1435.2
262	-1421.89
263	-1429
264	-1398.71
265	-1584.7
266	-1420.06
267	-1414.66
268	-1421.59
269	-1775.83
270	-1457.26
271	-1935.45
272	-1932.96
273	-1400.1
274	-1414.07
275	-1455.34
276	-1411.22
277	-1482.17
278	-1537.28
279	-1487.1
280	-1485.58
281	-1754.75
282	-1607.81
283	-1970.9
284	-2387.03
285	-1456.5
286	-1455.13
287	-1455.38
288	-1492.98
