#Generated from oldHV.txt and alphas.txt with max HV limits by maximum in plateau region and max HV hard limit 2550
#Module	 HV
1	-1512.5
2	-1527.82
3	-1511.52
4	-1468.64
5	-1575
6	-1575
7	-1575
8	-1575
9	-1482.45
10	-1457.95
11	-1432.98
12	-1492.63
13	-1452.68
14	-1462.94
15	-1465.98
16	-1435.01
17	-1575
18	-1575
19	-1575
20	-1575
21	-1474.19
22	-1502.51
23	-1575
24	-1575
25	-1446.4
26	-1575
27	-1507.69
28	-1438.51
29	-1575
30	-1575
31	-1575
32	-1575
33	-1506.22
34	-1480.99
35	-1575
36	-1446.95
37	-1480.08
38	-1456.38
39	-1431.33
40	-1492.2
41	-1575
42	-1575
43	-1575
44	-1575
45	-1445.02
46	-1454.47
47	-1471.05
48	-1473.08
49	-1475.97
50	-1495.53
51	-1557.21
52	-1481.66
53	-1575
54	-1575
55	-1575
56	-1575
57	-1468.25
58	-1476.04
59	-1465.05
60	-1531.6
61	-1473.98
62	-1449.17
63	-1497.95
64	-1469.83
65	-1575
66	-1575
67	-1575
68	-1575
69	-1450.46
70	-1494.12
71	-1515.54
72	-1453.7
73	-1575
74	-1575
75	-1575
76	-1575
77	-1575
78	-1575
79	-1575
80	-1575
81	-1423.67
82	-1446.12
83	-1450.11
84	-1575
85	-1434.81
86	-1451.26
87	-1479.82
88	-1439.56
89	-1575
90	-1575
91	-1575
92	-1575
93	-1443.6
94	-1473.24
95	-1476.51
96	-1575
97	-1488.79
98	-1433.9
99	-1509.8
100	-1435.18
101	-1575
102	-1575
103	-1575
104	-1575
105	-1423.19
106	-1426.48
107	-1470.62
108	-1461.84
109	-1575
110	-1491.98
111	-1447.82
112	-1438.56
113	-1575
114	-1575
115	-1575
116	-1575
117	-1395.54
118	-1508.85
119	-1443.7
120	-1465.1
121	-1449.02
122	-1471.94
123	-1475.99
124	-1479.4
125	-1533.09
126	-1575
127	-1575
128	-1575
129	-1416.12
130	-1392.05
131	-1534.11
132	-1547.16
133	-1495.13
134	-1422.34
135	-1475.01
136	-1525.28
137	-1575
138	-1575
139	-1575
140	-1575
141	-1455.47
142	-1453.68
143	-1452.54
144	-1472.85
145	-1575
146	-1575
147	-1550.63
148	-1575
149	-1575
150	-1575
151	-1575
152	-1575
153	-1435.45
154	-1481.23
155	-1500.62
156	-1478.53
157	-1486.58
158	-1461.99
159	-1511.57
160	-1455.21
161	-1575
162	-1575
163	-1575
164	-1575
165	-1459.82
166	-1458.59
167	-1478.81
168	-1508.9
169	-1561.09
170	-1458.58
171	-1467.56
172	-1501.34
173	-1575
174	-1575
175	-1575
176	-1575
177	-1463.06
178	-1575
179	-1447.72
180	-1448.04
181	-1448.81
182	-1509.88
183	-1428.52
184	-1474.17
185	-1575
186	-1575
187	-1575
188	-1575
189	-1507.09
190	-1496.93
191	-1473.84
192	-1437.5
193	-1502.77
194	-1483.71
195	-1484.12
196	-1475.46
197	-1575
198	-1575
199	-1575
200	-1575
201	-1426.34
202	-1499.81
203	-1441.56
204	-1575
205	-1493.87
206	-1555.06
207	-1436.77
208	-1536.48
209	-1575
210	-1575
211	-1575
212	-1575
213	-1415.16
214	-1450.72
215	-1421.01
216	-1513.21
217	-1441.94
218	-1575
219	-1419.37
220	-1469.31
221	-1575
222	-1575
223	-1575
224	-1575
225	-1387.22
226	-1459.86
227	-1440.06
228	-1484.99
229	-1459.73
230	-1404.65
231	-1465.2
232	-1478.93
233	-1575
234	-1575
235	-1575
236	-1575
237	-1464.12
238	-1438.72
239	-1465.07
240	-1481.02
241	-1547.26
242	-1470.09
243	-1575
244	-1491.04
245	-1575
246	-1575
247	-1575
248	-1575
249	-1433.13
250	-1472.21
251	-1461.3
252	-1478.1
253	-1548.2
254	-1457.55
255	-1392.95
256	-1411.8
257	-1575
258	-1459.29
259	-1566.24
260	-1575
261	-1435.2
262	-1421.89
263	-1429
264	-1398.71
265	-1575
266	-1420.06
267	-1414.66
268	-1421.59
269	-1575
270	-1457.26
271	-1575
272	-1575
273	-1400.1
274	-1414.07
275	-1455.34
276	-1411.22
277	-1482.17
278	-1537.28
279	-1487.1
280	-1485.58
281	-1575
282	-1575
283	-1575
284	-1575
285	-1456.5
286	-1455.13
287	-1455.38
288	-1492.98
