sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),hcal_v_offset,rootfile_dir,tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
1,1878,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN1/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1884,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN1/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1887,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN1/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1888,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN1/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1889,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN1/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1891,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN1/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1897,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN1/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,1998,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,1999,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2000,lh2,630,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS30/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
