sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),Charge (C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
1,1878,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1884,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1887,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1888,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1889,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1891,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
1,1897,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,1998,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,1999,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2000,h2,630,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
