sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
4,11436,lh2,630,750,3.73929426529032,0.000158808434327,0.0109847,none,none,none,none
4,11500,lh2,630,750,3.73939135934783,0.000137485106405,0.00500944,none,none,none,none
4,11547,lh2,630,750,3.73915609475247,0.000171556775303,0.0061341,none,none,none,none
4,11548,lh2,630,750,3.73900990083333,7.35937091560823E-05,0.00550121,none,none,none,none
4,11573,lh2,0,750,3.73929966615763,0.000126757755023,0.0117094,none,none,none,none
4,11587,lh2,0,750,3.73916418583333,0.000174010973868,0.00792101,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11588,lh2,0,750,3.73916862066667,0.000162260388693,0.00259923,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11589,lh2,1050,750,3.73917440608696,0.000114018336793,0.00100384,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11590,lh2,1050,750,3.73928821414634,0.000192766854575,0.00735889,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11592,lh2,1050,750,3.73921241833333,0.000224043081051,0.00184626,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11616,lh2,630,750,3.73934034174825,0.00015493812997,0.00739176,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11989,lh2,1785,750,7.9311127523871,0.000333152429354,0.00130755,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11990,lh2,1785,750,7.93106168114865,0.000409525537344,0.00198962,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11991,lh2,1785,750,7.93119605727273,0.000436942889164,0.00229598,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11992,lh2,1785,750,7.93124708333333,0.000105963780995,0.00160917,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11993,lh2,1785,750,7.9308222403125,0.000750794173867,0.00113811,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11994,lh2,1785,750,7.93112053788571,0.000582337097884,0.0236623,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12000,lh2,1785,750,7.9306763837931,0.000891261168781,0.0223243,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12008,lh2,1785,750,7.93081038064039,0.000790329822787,0.0253461,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12022,lh2,1785,750,7.93088058075862,0.00061549340744,0.0321092,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12035,lh2,1785,750,7.93062771605911,0.000477727886784,0.0318323,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12049,lh2,1785,750,7.9305367725,0.000456208969701,0.034047,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12052,lh2,1785,750,7.93053102,0.000249060051902,0.00875864,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12053,lh2,1785,750,7.93045976409091,0.0002127279229,0.0335387,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12058,lh2,1785,750,7.9311318288,0.000356348148057,0.022529,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12064,lh2,1785,750,7.93104512216749,0.000475585546862,0.0348756,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12072,lh2,1785,750,7.93099398518072,0.000561608020948,0.0327866,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12313,lh2,2100,750,9.88872397979911,0.000267004612453,0.0460301,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12320,lh2,2100,750,9.88919657718638,0.000379366929698,0.0313638,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12335,lh2,2100,750,9.88882647345455,0.000287171053588,0.0240205,none,none,none,-------[ 2021-10-24 04:30:00 ]
