sbsconfig,calib_set,target,field,hcal_sf,hcal_es,W2_mean,W2_sig,dx0_n,dx0_p,dy0,dx_sig_n,dx_sig_p,dy_sig,atime0,atime_sig,useAlshield,gcut
4,0,lh2,0,0.0641,0.44,0.837666,0.0948841,0.01914,0.01914,-0.03618,0.05911,0.05911,0.07244,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,0,lh2,30,0.0641,0.44,0.917994,0.167922,-0.646099,-0.646099,-0.0245972,0.0738526,0.0738526,0.0706237,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,0,lh2,50,0.0641,0.44,0.949849,0.0912271,-1.09359,-1.09359,-0.0134396,0.0879841,0.0879841,0.0661816,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,0,ld2,0,0.0641,0.44,0.9011,0.2295,0.007614,0.007614,0.04738,0.2137,0.2137,0.2858,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,0,ld2,30,0.0641,0.44,0.9677,0.2455,-0.00632,-0.6449,-0.00831,0.2128,0.1806,0.2688,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,0,ld2,50,0.0641,0.44,1.02447,0.215229,0.0129126,-1.08927,0.008,0.193991,0.182977,0.2808,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,1,lh2,0,0.0641,0.43,0.837666,0.0948841,0.01914,0.01914,-0.03618,0.05911,0.05911,0.07244,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,1,lh2,30,0.0641,0.43,0.917994,0.167922,-0.646099,-0.646099,-0.0245972,0.0738526,0.0738526,0.0706237,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,1,lh2,50,0.0641,0.43,0.949849,0.0912271,-1.09359,-1.09359,-0.0134396,0.0879841,0.0879841,0.0661816,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,1,ld2,0,0.0641,0.43,0.9011,0.2295,0.007614,0.007614,0.04738,0.2137,0.2137,0.2858,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,1,ld2,30,0.0641,0.43,0.9677,0.2455,-0.00632,-0.6449,-0.00831,0.2128,0.1806,0.2688,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
4,1,ld2,50,0.0641,0.43,1.02447,0.215229,0.0129126,-1.08927,0.008,0.193991,0.182977,0.2808,1.2,4.35,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&abs(bb.etot_over_p-0.92)<0.2&&sbs.hcal.e>0.01&&bb.ps.e+bb.sh.e>1.7
7,0,lh2,85,0.0718,0.74,0.898887,0.200681,-0.691916,-0.691916,-0.00411589,0.0636087,0.0636087,0.0852656,0.64,4.62,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>2.0&&sbs.hcal.e>0.03&&bb.ps.e>0.2
7,0,ld2,85,0.0718,0.74,0.88,0.25,0.02437,-0.6914,0.01075,0.107,0.1246,0.1828,0.64,4.62,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>2.0&&sbs.hcal.e>0.03&&bb.ps.e>0.2
11,0,lh2,0,0.0734,0.58,0.925,0.325,0.0725261,0.0725261,-0.034999,0.167305,0.167305,0.111698,1.01,5.89,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>2.0&&sbs.hcal.e>0.03&&bb.ps.e>0.2
11,0,lh2,100,0.0734,0.58,0.925,0.325,-0.631161,-0.631161,0.0150518,0.0772046,0.0772046,0.08328,1.01,5.89,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>2.0&&sbs.hcal.e>0.03&&bb.ps.e>0.2
11,0,ld2,0,0.0734,0.58,0.925,0.325,0.0405545,0.0405545,-0.0119,0.0635993,0.0635993,0.08675,1.01,5.89,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>2.0&&sbs.hcal.e>0.03&&bb.ps.e>0.2
11,0,ld2,100,0.0734,0.58,0.925,0.325,0.0728046,-0.633216,-0.0119,0.187977,0.191482,0.08675,1.01,5.89,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>2.0&&sbs.hcal.e>0.03&&bb.ps.e>0.2
14,0,lh2,0,0.071,0.52,0.777344,0.168992,0.0799085,0.0799085,-0.0351797,0.0777094,0.0777094,0.0817252,0.89,4.84,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>1.6&&sbs.hcal.e>0.03&&bb.ps.e>0.2
14,0,lh2,70,0.071,0.52,0.888156,0.17924,-0.722565,-0.722565,-0.0132459,0.0761898,0.0761898,0.0846373,0.89,4.84,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>1.6&&sbs.hcal.e>0.03&&bb.ps.e>0.2
14,0,ld2,70,0.071,0.52,0.870819,0.19443,0.078859,-0.719273,0.000633742,0.171009,0.161225,0.218423,0.89,4.84,0,bb.tr.n>0&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>2&&bb.tr.p[0]>1.6&&sbs.hcal.e>0.03&&bb.ps.e>0.2
8,0,lh2,0,0.0686,0.48,0.755055,0.152419,0.109928,0.109928,-0.0509538,0.0915071,0.0915071,0.063006,-0.75,5.05,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&sbs.hcal.e>0.03&&abs(bb.tr.tg_th[0])<0.15&&abs(bb.tr.tg_ph[0])<0.3
8,0,lh2,50,0.0686,0.48,0.841783,0.154394,-0.523447,-0.523447,-0.040997,0.121249,0.121249,0.0612909,-0.75,5.05,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&sbs.hcal.e>0.03&&abs(bb.tr.tg_th[0])<0.15&&abs(bb.tr.tg_ph[0])<0.3
8,0,lh2,70,0.0686,0.48,0.885444,0.158775,-0.769036,-0.769036,-0.0381113,0.139637,0.139637,0.0670007,-0.75,5.05,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&sbs.hcal.e>0.03&&abs(bb.tr.tg_th[0])<0.15&&abs(bb.tr.tg_ph[0])<0.3
8,0,lh2,100,0.0686,0.48,0.934896,0.151361,-1.14173,-1.14173,-0.0340306,0.158944,0.158944,0.0668056,-0.75,5.05,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&sbs.hcal.e>0.03&&abs(bb.tr.tg_th[0])<0.15&&abs(bb.tr.tg_ph[0])<0.3
8,0,ld2,0,0.0686,0.48,0.82,0.21,0.100465,0.100465,0.0249345,0.163139,0.163139,0.276042,-0.75,5.05,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&sbs.hcal.e>0.03&&abs(bb.tr.tg_th[0])<0.15&&abs(bb.tr.tg_ph[0])<0.3
8,0,ld2,50,0.0686,0.48,0.889,0.21,0.0876799,-0.516198,0.00465379,0.195652,0.186157,0.249543,-0.75,5.05,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&sbs.hcal.e>0.03&&abs(bb.tr.tg_th[0])<0.15&&abs(bb.tr.tg_ph[0])<0.3
8,0,ld2,70,0.0686,0.48,1.00643,0.323108,0.0920908,-0.765124,-0.0140644,0.185411,0.202337,0.245229,-0.75,5.05,0,bb.tr.n==1&&bb.ps.e>0.2&&abs(bb.tr.vz[0])<0.08&&bb.gem.track.nhits>3&&sbs.hcal.e>0.03&&abs(bb.tr.tg_th[0])<0.15&&abs(bb.tr.tg_ph[0])<0.3
